stratum,repo_id,repo,prA,prB,agentA,agentB
same,638723850,Azure-Samples/openai-chat-app-quickstart,283,286,Copilot,Copilot
same,285925007,dotnet/docs-desktop,2099,2100,Copilot,Copilot
same,172267331,Part-DB/Part-DB-server,1046,1048,Copilot,Copilot
same,593184777,epicweb-dev/epicshop,254,255,Cursor,Cursor
same,55626935,microsoft/WSL,13350,13352,Copilot,Copilot
same,306366900,casdoor/casdoor,4231,4237,Copilot,Copilot
same,44556479,AzureAD/microsoft-authentication-library-for-dotnet,5523,5524,Copilot,Copilot
same,900371327,ublue-os/aurora,912,914,Copilot,Copilot
same,311525798,microsoft/Web-Dev-For-Beginners,1524,1525,Copilot,Copilot
same,988222683,Simon-He95/vue-markdown-renderer,57,59,Copilot,Copilot
same,290931862,doudar/SmartSpin2k,666,668,Copilot,Copilot
same,445274448,appwrite/console,2357,2358,Copilot,Copilot
same,86188653,altair-graphql/altair,2858,2873,Copilot,Copilot
same,54298946,camunda/camunda,34153,34168,Copilot,Copilot
same,191752255,deepmodeling/dpgen,1794,1798,Copilot,Copilot
same,946174307,modelcontextprotocol/csharp-sdk,779,781,Copilot,Copilot
same,141349191,markets/mini_i18n,10,11,Copilot,Copilot
same,927890076,modelcontextprotocol/registry,175,205,Copilot,Copilot
same,596176714,ENSTA-U2IS-AI/torch-uncertainty,191,193,Copilot,Copilot
same,42548553,Azure/azure-functions-host,11074,11115,Copilot,Copilot
same,181483945,chaos-polymtl/lethe,1701,1702,Copilot,Copilot
same,12888993,home-assistant/core,149687,149694,Copilot,Copilot
same,825888299,jamdotdev/jam-dev-utilities,98,100,Copilot,Copilot
same,434366539,cschleiden/go-workflows,387,388,Copilot,Copilot
same,509566212,ast-grep/ast-grep,2150,2152,Copilot,Copilot
same,442441933,mabel-dev/opteryx,2799,2800,Copilot,Copilot
same,248703055,aztfmod/terraform-provider-azurecaf,301,302,Copilot,Copilot
same,549298066,MicrosoftLearning/eShopOnWeb,377,380,Copilot,Copilot
same,148657224,trezor/trezor-suite,20878,20880,Copilot,Copilot
same,31625029,zeroc-ice/ice,4104,4108,Copilot,Copilot
same,285902689,Expensify/App,65545,65546,Copilot,Copilot
same,366064221,grandnode/grandnode2,617,620,Copilot,Copilot
same,189946581,goproxy/goproxy,150,151,Copilot,Copilot
same,133843125,department-of-veterans-affairs/va.gov-team,118289,118293,Copilot,Copilot
same,23453387,PropertyTools/PropertyTools,409,413,Copilot,Copilot
same,569661006,software-mansion/scarb,2691,2692,Copilot,Copilot
same,344511263,microsoft/AzureTRE,4551,4552,Copilot,Copilot
same,628067244,Mr-Quin/danmaku-anywhere,80,82,Copilot,Copilot
same,749160816,AdnaneKhan/gato-x,195,197,Copilot,Copilot
same,212054478,pine-vm/pine,31,32,Copilot,Copilot
same,472313202,cornerstonejs/cornerstone3D,1998,1999,Devin,Devin
same,6860771,hathach/tinyusb,3230,3234,Copilot,Copilot
same,42712762,camunda/camunda-modeler,5146,5148,Copilot,Copilot
same,1035299828,just-every/code,281,282,OpenAI_Codex,OpenAI_Codex
same,449656810,pkuehnel/TeslaSolarCharger,1976,1977,OpenAI_Codex,OpenAI_Codex
same,905638090,yosebyte/nodepass,47,48,Copilot,Copilot
same,816564221,debloper/piosk,88,89,Copilot,Copilot
same,300478155,QuantEcon/lecture-python.myst,513,515,Copilot,Copilot
same,404144554,chaiNNer-org/chaiNNer,3127,3128,Copilot,Copilot
same,126682032,zwave-js/zwave-js,7989,7992,Copilot,Copilot
same,1069559791,irony/aspipes,5,6,Copilot,Copilot
same,639096103,Cosmian/kms,502,504,Copilot,Copilot
same,1049498013,CameronFoxly/Ascii-Motion,2,4,Copilot,Copilot
same,16157746,dotnet/efcore,36136,36150,Copilot,Copilot
same,179290947,instructure/canvas-android,3282,3283,Claude_Code,Claude_Code
same,290960521,srl-labs/containerlab,2835,2837,Copilot,Copilot
same,317531562,TheJoeFin/Text-Grab,548,550,Copilot,Copilot
same,145907688,microsoft/fhir-server,5110,5111,Copilot,Copilot
same,847554389,bpwhelan/GameSentenceMiner,166,167,Copilot,Copilot
same,69648386,OWASP/mastg,3374,3375,Copilot,Copilot
same,33816473,testcontainers/testcontainers-java,10782,10784,Copilot,Copilot
same,1000628235,14790897/MapDistancePro,3,5,Copilot,Copilot
same,984142834,microsoft/azure-devops-mcp,247,248,Copilot,Copilot
same,320393623,kentcdodds/kentcdodds.com,544,545,Cursor,Cursor
same,768056223,KarinJS/Karin,534,535,Copilot,Copilot
same,640924937,wiresock/proxifyre,88,90,Copilot,Copilot
same,631466180,Equationzhao/g,250,251,Copilot,Copilot
same,202533650,OpenEVSE/openevse_esp32_firmware,992,994,Copilot,Copilot
same,391740664,open-metadata/OpenMetadata,22304,22306,Copilot,Copilot
same,1208360,tvheadend/tvheadend,1895,1896,Copilot,Copilot
same,326313096,evan361425/flutter-pos-system,223,224,Copilot,Copilot
same,631840812,jirihofman/portfolio,270,272,Copilot,Copilot
same,883186358,microsoft/debug-gym,126,129,Copilot,Copilot
same,39242894,coturn/coturn,1721,1722,Copilot,Copilot
same,475909036,microsoft/go-mssqldb,266,269,Copilot,Copilot
same,294037465,swingerman/ha-dual-smart-thermostat,399,401,Copilot,Copilot
same,4141506,crittermike/shortkeys,668,670,Copilot,Copilot
same,37750722,geneontology/go-ontology,30633,30639,Copilot,Copilot
same,416855086,github/gh-gei,1349,1350,Copilot,Copilot
same,131473375,ErikEJ/EFCorePowerTools,3137,3139,Copilot,Copilot
same,1047158854,FarisZR/knocker,10,11,Copilot,Copilot
same,18987413,wso2/product-is,24527,24528,Copilot,Copilot
same,101188728,cloudposse/terraform-aws-ecr,152,153,Copilot,Copilot
same,545442727,agenda-tech-brasil/agenda-tech-brasil,1297,1298,Copilot,Copilot
same,237222619,wasp-lang/wasp,2950,3034,Copilot,Copilot
same,659104635,web-infra-dev/rspress,2607,2608,Copilot,Copilot
same,173384525,Automattic/woocommerce-payments,11058,11059,Copilot,Copilot
same,148663191,TuringLang/Bijectors.jl,407,408,Copilot,Copilot
same,1488933,tbsalling/aismessages,61,62,OpenAI_Codex,OpenAI_Codex
same,248361164,PowerShell/PSResourceGet,1887,1888,Copilot,Copilot
same,92539237,spacetx/starfish,2090,2091,Copilot,Copilot
same,390774973,OpenWonderLabs/homebridge-switchbot,1229,1237,Copilot,Copilot
same,300529232,stargately/beancount-mobile,80,81,OpenAI_Codex,OpenAI_Codex
same,820087727,onlook-dev/onlook,938,943,Devin,Devin
same,709354870,microsoft/CopilotAdventures,32,33,Copilot,Copilot
same,30856851,ChurchCRM/CRM,7383,7394,Copilot,Copilot
same,1008945470,Catfriend1/syncthing-lite,36,37,Copilot,Copilot
same,6292751,hazzik/DelegateDecompiler,263,265,Copilot,Copilot
same,607289185,microsoft/semantic-kernel,12972,12989,Copilot,Copilot
same,639599253,feldera/feldera,4546,4549,Copilot,Copilot
same,984341155,lemonade-sdk/lemonade,120,121,OpenAI_Codex,OpenAI_Codex
same,17453792,Mapsui/Mapsui,3080,3083,Copilot,Copilot
same,61421257,eggjs/egg,5457,5459,Copilot,Copilot
same,65464094,BlitterStudio/amiberry,1710,1711,Copilot,Copilot
same,608408199,ublue-os/main,1509,1511,Copilot,Copilot
same,252724819,workadventure/workadventure,5035,5036,Copilot,Copilot
same,49122742,binarywang/WxJava,3646,3647,Copilot,Copilot
same,86746409,thymikee/jest-preset-angular,3243,3245,Copilot,Copilot
same,692042935,plengauer/Thoth,2219,2222,Copilot,Copilot
same,106087444,electerm/electerm,3979,3980,Copilot,Copilot
same,93163073,dependabot/dependabot-core,12894,12912,Copilot,Copilot
same,514062293,akuity/kargo,4605,4606,Copilot,Copilot
same,122162,bmander/graphserver,32,33,Copilot,Copilot
same,755724256,Netflix/bpftop,163,165,Copilot,Copilot
same,1482997,phpredis/phpredis,2704,2706,Copilot,Copilot
same,209532241,dianlight/hassio-addons,479,481,Copilot,Copilot
same,474913110,eclipse-platform/eclipse.platform.swt,2580,2590,Copilot,Copilot
same,816422401,sysadminsmedia/homebox,861,862,Copilot,Copilot
same,35698983,mojohaus/jaxb2-maven-plugin,374,376,Copilot,Copilot
same,103307180,Azure/azure-storage-fuse,1780,1809,Copilot,Copilot
same,175666043,microsoft/vscode-edge-devtools,3668,3669,Copilot,Copilot
same,264852729,svobik7/next-roots,448,452,Copilot,Copilot
same,434708679,vitest-dev/vitest,8531,8543,Copilot,Copilot
same,895508656,microsoft/ai-agents-for-beginners,244,245,Copilot,Copilot
same,137444487,mwouts/jupytext,1451,1453,Copilot,Copilot
same,639472514,microsoft/BCApps,4090,4411,Copilot,Copilot
same,517581241,hoylabs/OpenDTU-OnBattery,2117,2118,Copilot,Copilot
same,11143269,baynezy/Html2Markdown,557,559,Copilot,Copilot
same,560725747,o1-labs/mina-rust,1422,1424,Copilot,Copilot
same,233452776,net-daemon/netdaemon,1316,1317,Copilot,Copilot
same,332135599,gadicc/yahoo-finance2,941,943,Copilot,Copilot
same,772123163,Boshen/cargo-shear,227,228,Copilot,Copilot
same,97328832,Sicos1977/ChromiumHtmlToPdf,200,201,Copilot,Copilot
same,743388098,Wai-Technologies/raaghu-react,3079,3085,Copilot,Copilot
same,295807341,rqlite/sql,51,54,Copilot,Copilot
same,550054675,public-ui/kolibri,7896,7898,OpenAI_Codex,OpenAI_Codex
same,447140444,Maintainerr/Maintainerr,1886,1888,Copilot,Copilot
same,896123483,felipebarcelospro/igniter-js,31,34,Copilot,Copilot
same,274994065,newrelic/newrelic-dotnet-agent,3279,3283,Copilot,Copilot
same,1418150,mapeditor/tiled,4268,4275,Copilot,Copilot
same,710526044,joaovitoriasilva/endurain,315,317,Copilot,Copilot
same,849051482,github/gh-models,82,83,Copilot,Copilot
same,108257720,Azure/azure-kusto-python,579,581,Copilot,Copilot
same,232568640,scverse/scirpy,633,634,Copilot,Copilot
same,197153676,Chia-Network/chia-blockchain,19813,19828,Copilot,Copilot
same,149182373,kitzeslab/opensoundscape,1168,1169,Copilot,Copilot
same,247714750,zitadel/zitadel,10257,10392,Copilot,Copilot
same,16844474,clappr/clappr,2280,2281,Cursor,Cursor
same,1022965195,joshi4/splash,43,45,Copilot,Copilot
same,3928696,TestableIO/System.IO.Abstractions,1326,1328,Copilot,Copilot
same,381173759,NVIDIA/cuda-python,868,871,Copilot,Copilot
same,963128693,yamlresume/yamlresume,52,60,Copilot,Copilot
same,833306239,containers/ramalama,1898,1899,Copilot,Copilot
same,70107786,vercel/next.js,79523,80002,Devin,Devin
same,20046997,PrairieLearn/PrairieLearn,13082,13109,Copilot,Copilot
same,959123498,IvanMurzak/Unity-MCP,217,219,Copilot,Copilot
same,256628396,onflow/cadence,4283,4284,Devin,Devin
same,665487334,bdunderscore/ndmf,684,686,Copilot,Copilot
same,339539065,cloudamqp/amqp-client.js,147,148,Copilot,Copilot
same,237631278,AvaloniaCommunity/awesome-avalonia,216,218,Copilot,Copilot
same,298496954,wzshiming/socks5,11,13,Copilot,Copilot
same,248400799,LibChecker/LibChecker,1740,1742,Copilot,Copilot
same,247216177,ProvableHQ/snarkVM,2912,2917,Copilot,Copilot
same,736363011,olimorris/codecompanion.nvim,1994,2002,Copilot,Copilot
same,20981950,ActivitySim/activitysim,979,981,Copilot,Copilot
same,582387164,pola-rs/r-polars,1567,1569,Copilot,Copilot
same,76057960,compsocialscience/summer-institute,4478,4479,Copilot,Copilot
same,34427097,highperformancecoder/minsky,571,572,Copilot,Copilot
same,1028174094,zouzhekang/YJYpaper,293,294,Copilot,Copilot
same,564439013,pelicanmapping/rocky,111,112,Copilot,Copilot
same,238282851,LorenFrankLab/spyglass,1346,1348,Copilot,Copilot
same,170785395,microsoft/AttackSurfaceAnalyzer,754,755,Copilot,Copilot
same,355476462,Skyscanner/turbolift,172,173,OpenAI_Codex,OpenAI_Codex
same,553878560,modal-labs/modal-client,3602,3614,Devin,Devin
same,778431525,microsoft/graphrag,1944,1956,Copilot,Copilot
same,830335824,tonybaloney/CSnakes,607,608,Copilot,Copilot
same,320097835,MicrosoftLearning/AZ400-DesigningandImplementingMicrosoftDevOpsSolutions,671,673,Copilot,Copilot
same,847167817,haydenbleasel/kibo,164,165,Copilot,Copilot
same,737584922,devantler-tech/ksail,1340,1342,Copilot,Copilot
same,613984283,Chainlit/chainlit,2322,2323,Copilot,Copilot
same,138716355,kube-logging/logging-operator,2116,2117,Copilot,Copilot
same,166515022,trinodb/trino,26715,26737,Copilot,Copilot
same,355603675,Rbillon59/hass-n8n,378,380,Copilot,Copilot
same,3507455,lichess-org/lila,17989,18000,Copilot,Copilot
same,22886718,ioBroker/ioBroker,642,644,Copilot,Copilot
same,607233314,thomast1906/terraform-on-azure,21,23,Copilot,Copilot
same,413794983,microsoft/AL-Go,1823,1830,Copilot,Copilot
same,1024661423,we-promise/sure,47,51,OpenAI_Codex,OpenAI_Codex
same,132129752,microsoft/presidio,1644,1645,Copilot,Copilot
same,181716683,artsploit/yaml-payload,7,8,Copilot,Copilot
same,132453438,unoplatform/uno,21227,21228,Copilot,Copilot
same,169452728,github/session-resume,67,68,Copilot,Copilot
same,622134207,k8sgpt-ai/k8sgpt-operator,762,763,Copilot,Copilot
same,133968906,bbc/simorgh,12976,12980,Copilot,Copilot
same,71525630,mackron/miniaudio,1030,1031,Copilot,Copilot
same,289334021,Azure/azureml-examples,3658,3680,Copilot,Copilot
same,82677855,bab2min/Kiwi,222,224,Copilot,Copilot
same,36124386,fr3ts0n/AndrOBD,295,296,Copilot,Copilot
same,361605113,cpp-linter/cpp-linter-action,334,335,Copilot,Copilot
same,120432743,pengweiqhca/Xunit.DependencyInjection,154,156,Copilot,Copilot
same,380501914,nikolaydubina/go-recipes,281,282,Copilot,Copilot
same,823533826,trueai-org/midjourney-proxy,86,87,Copilot,Copilot
same,846315744,graphif/project-graph,500,501,Copilot,Copilot
same,37983532,movim/movim,1449,1450,Copilot,Copilot
same,83085579,AzureAD/microsoft-authentication-library-for-js,7878,7880,Copilot,Copilot
same,733836243,posva/pinia-colada,350,351,Copilot,Copilot
same,702105555,lofcz/LlmTornado,81,82,Copilot,Copilot
same,812496927,gluesql/glues,141,142,OpenAI_Codex,OpenAI_Codex
same,438326898,microsoft/griffel,697,699,Copilot,Copilot
same,374764410,dotnet/docs-maui,3034,3037,Copilot,Copilot
same,958239663,microsoft/Foundry-Local,84,190,Copilot,Copilot
same,498824328,microsoft/sbom-tool,1092,1094,Copilot,Copilot
same,1002237559,Pandalin98/ITFormer-ICML25,11,13,Copilot,Copilot
same,59167041,microsoft/vscode-wiki,331,332,Copilot,Copilot
same,320307811,scaleway/ultraviolet,5584,5585,Copilot,Copilot
same,275260119,kingstinct/react-native-healthkit,184,185,OpenAI_Codex,OpenAI_Codex
same,13705438,fulldecent/FDWaveformView,158,159,Copilot,Copilot
same,141843316,demystifyfp/FsToolkit.ErrorHandling,337,339,Copilot,Copilot
same,263503250,Azure/bicep,17567,17569,Copilot,Copilot
same,204388092,pig-mesh/pig,1201,1203,Copilot,Copilot
same,44285150,DanWahlin/Angular-JumpStart,116,118,Copilot,Copilot
same,365784056,srid/emanote,592,594,Copilot,Copilot
same,139199684,PrefectHQ/prefect,18098,18099,OpenAI_Codex,OpenAI_Codex
same,73056727,objectionary/eo,4280,4282,Copilot,Copilot
same,642497346,langfuse/langfuse,6896,6897,OpenAI_Codex,OpenAI_Codex
same,49407251,vadimcn/codelldb,1326,1329,Copilot,Copilot
same,753757613,langchain-ai/langchain-google,1143,1144,Copilot,Copilot
same,52293126,mono/SkiaSharp,3356,3358,Copilot,Copilot
same,28823976,r-dbi/RPostgres,520,522,Copilot,Copilot
same,392265178,ydb-platform/ydb-go-sdk,1891,1893,Copilot,Copilot
same,782416935,mozillazg/ptcpdump,340,348,Copilot,Copilot
same,402945349,StarRocks/starrocks,61219,61224,Cursor,Cursor
same,856550745,orbitinghail/graft,132,133,OpenAI_Codex,OpenAI_Codex
same,645998093,juspay/omnix,480,482,Copilot,Copilot
same,361767999,Azure/azure-workload-identity,1654,1656,Copilot,Copilot
same,253024215,hahwul/WebHackersWeapons,144,145,Copilot,Copilot
same,28059281,CsoundQt/CsoundQt,443,444,Copilot,Copilot
same,188078602,appwrite/sdk-generator,1142,1143,Cursor,Cursor
same,62162299,Rello/audioplayer,616,617,OpenAI_Codex,OpenAI_Codex
same,772283421,usesend/useSend,212,213,OpenAI_Codex,OpenAI_Codex
same,434910025,v2er-app/iOS,30,31,Copilot,Copilot
same,291267527,TinyLake/MindustryX,51,52,Copilot,Copilot
same,38957562,leokhoa/laragon,1302,1304,Copilot,Copilot
same,65600975,pytorch/pytorch,155615,155658,OpenAI_Codex,OpenAI_Codex
same,676672661,langchain-ai/langgraph,5043,5044,OpenAI_Codex,OpenAI_Codex
same,490476983,microsoft/live-share-sdk,813,815,Copilot,Copilot
same,275118967,mikel-brostrom/boxmot,2094,2095,OpenAI_Codex,OpenAI_Codex
same,408212054,awalsh128/cache-apt-pkgs-action,170,173,Copilot,Copilot
same,55637575,quic-go/quic-go,5382,5407,Copilot,Copilot
same,62843932,microsoft/BotFramework-WebChat,5483,5499,Copilot,Copilot
same,626805178,langgenius/dify,26248,26249,Copilot,Copilot
same,172011048,leoafarias/fvm,849,850,OpenAI_Codex,OpenAI_Codex
same,7243421,GradleUp/shadow,1497,1500,Copilot,Copilot
same,664013991,gitroomhq/postiz-app,864,901,Copilot,Copilot
same,777432944,php-llm/llm-chain,344,350,Copilot,Copilot
same,17652873,FarmBot/Farmbot-Web-App,2491,2492,OpenAI_Codex,OpenAI_Codex
same,171858090,countr/countr,1493,1494,Copilot,Copilot
same,847453935,testdriverai/cli,307,308,Cursor,Cursor
same,369428935,torchgeo/torchgeo,2970,2972,Copilot,Copilot
same,668673665,FalkorDB/FalkorDB,1201,1214,Copilot,Copilot
same,139904893,Apollon77/ioBroker.alexa2,1234,1235,Copilot,Copilot
same,395140743,skypilot-org/skypilot,5796,5810,OpenAI_Codex,OpenAI_Codex
same,161250496,java-james/flutter_dotenv,129,131,Copilot,Copilot
same,771302083,OpenHands/OpenHands,10091,10092,Copilot,Copilot
same,153405532,Azure-Samples/iot-edge-opc-plc,437,438,Copilot,Copilot
same,232746297,phamquiluan/ResidualMaskingNetwork,57,59,Copilot,Copilot
same,424594639,jinek/Consolonia,357,358,OpenAI_Codex,OpenAI_Codex
same,395095540,go-vikunja/app,119,120,OpenAI_Codex,OpenAI_Codex
same,235809355,CERTCC/SSVC,1010,1013,Copilot,Copilot
same,1025924157,brennercruvinel/CCPlugins,22,23,Copilot,Copilot
same,796872246,Admonstrator/glinet-tailscale-updater,27,28,Copilot,Copilot
same,40345658,recharts/recharts,6228,6229,OpenAI_Codex,OpenAI_Codex
same,144358960,chanzuckerberg/miniwdl,809,811,Copilot,Copilot
same,792509703,stolinski/drop-in,51,53,Copilot,Copilot
same,114333691,zardus/wargame-nexus,32,33,Copilot,Copilot
same,710601088,crewAIInc/crewAI,1815,1816,Devin,Devin
same,941289933,antiwork/helper,14,17,Devin,Devin
same,350360184,calcom/cal.com,18376,18378,Devin,Devin
same,442321089,Cap-go/capgo,1012,1036,Devin,Devin
same,934897158,digitaldemocracy2030/kouchou-ai,232,233,Devin,Devin
same,577975610,reflex-dev/reflex-web,1300,1301,Devin,Devin
same,195619075,vdaas/vald,2964,2965,Devin,Devin
same,10797333,hove-io/navitia,4462,4463,Devin,Devin
same,679017521,AgentOps-AI/agentops,603,605,Devin,Devin
same,846923721,bolna-ai/bolna,218,219,Devin,Devin
same,400215964,novuhq/novu,8303,8304,Devin,Devin
same,370740787,liveblocks/liveblocks,2523,2524,Cursor,Cursor
same,430749584,OneKeyHQ/app-monorepo,6457,6458,Devin,Devin
same,771479895,lingodotdev/lingo.dev,693,694,Devin,Devin
same,832552991,ai-shifu/ai-shifu,341,345,Devin,Devin
same,440017777,softmaple/softmaple,216,218,Devin,Devin
same,297778512,onflow/flow-go,7555,7563,Devin,Devin
same,888701643,test-zeus-ai/testzeus-hercules,60,61,Devin,Devin
same,1002552148,amantus-ai/vibetunnel,286,287,OpenAI_Codex,OpenAI_Codex
same,943684276,luohy15/y-gui,3,4,Devin,Devin
same,727378032,cloudwalk/stratus,2019,2020,Devin,Devin
same,262862475,amplication/amplication,9794,9804,Devin,Devin
same,386644013,freenet/freenet-core,1584,1585,Devin,Devin
same,311811610,vladfi1/slippi-ai,34,35,Devin,Devin
same,826515105,CodebuffAI/codebuff,62,64,Devin,Devin
same,28928522,wolfSSL/wolfssl,8452,8454,Devin,Devin
same,762304524,ComposioHQ/composio,1100,1101,Devin,Devin
same,254328371,NangoHQ/nango,3693,3695,Devin,Devin
same,36385798,evergreen-ci/evergreen,9033,9034,Devin,Devin
same,912106066,567-labs/kura,53,54,Claude_Code,Claude_Code
same,882626210,laiso/askrepo,8,9,Devin,Devin
same,417313751,brevdev/brev-cli,241,242,Devin,Devin
same,945001809,harrisonwang/docxy,1,2,Devin,Devin
same,228538361,yytypescript/book,979,980,OpenAI_Codex,OpenAI_Codex
same,961681148,get-convex/agent,95,96,Devin,Devin
same,21134745,wolfSSL/wolfssh,774,775,Devin,Devin
same,20849145,ateliee/jquery.schedule,58,59,Devin,Devin
same,944785047,Osly-AI/PocketManus,2,3,Devin,Devin
same,867337374,modelcontextprotocol/inspector,125,126,Devin,Devin
same,689777286,plastic-labs/honcho,113,114,Devin,Devin
same,778399384,colorstackorg/oyster,692,693,Devin,Devin
